"filename", "language", "C++", "Python", "comment", "blank", "total"
"/Users/shiyu./Desktop/CP-Code/APCSClass/1/a064.cpp", "C++", 31, 0, 0, 3, 34
"/Users/shiyu./Desktop/CP-Code/APCSClass/1/a096.cpp", "C++", 44, 0, 0, 3, 47
"/Users/shiyu./Desktop/CP-Code/APCSClass/1/a104.cpp", "C++", 27, 0, 0, 1, 28
"/Users/shiyu./Desktop/CP-Code/APCSClass/2/a104.py", "Python", 0, 7, 0, 0, 7
"/Users/shiyu./Desktop/CP-Code/APCSClass/2/a114.cpp", "C++", 40, 0, 1, 3, 44
"/Users/shiyu./Desktop/CP-Code/APCSClass/2/a115.cpp", "C++", 56, 0, 1, 4, 61
"/Users/shiyu./Desktop/CP-Code/APCSClass/2/a116.cpp", "C++", 60, 0, 1, 7, 68
"/Users/shiyu./Desktop/CP-Code/APCSClass/3/a117.cpp", "C++", 41, 0, 0, 4, 45
"/Users/shiyu./Desktop/CP-Code/APCSClass/3/a118.cpp", "C++", 31, 0, 0, 1, 32
"/Users/shiyu./Desktop/CP-Code/APCSClass/3/a157.cpp", "C++", 30, 0, 0, 2, 32
"/Users/shiyu./Desktop/CP-Code/APCSClass/3/a158.cpp", "C++", 25, 0, 0, 3, 28
"/Users/shiyu./Desktop/CP-Code/APCSClass/3/a228.cpp", "C++", 33, 0, 0, 2, 35
"/Users/shiyu./Desktop/CP-Code/APCSClass/4/a105.cpp", "C++", 51, 0, 3, 2, 56
"/Users/shiyu./Desktop/CP-Code/APCSClass/4/a147.cpp", "C++", 14, 0, 0, 2, 16
"/Users/shiyu./Desktop/CP-Code/APCSClass/4/a159.cpp", "C++", 46, 0, 0, 2, 48
"/Users/shiyu./Desktop/CP-Code/CodeForces/#959(Div.1 + 2)/pA.cpp", "C++", 76, 0, 11, 3, 90
"/Users/shiyu./Desktop/CP-Code/CodeForces/#959(Div.1 + 2)/pB.cpp", "C++", 75, 0, 11, 3, 89
"/Users/shiyu./Desktop/CP-Code/CodeForces/#961(Div.2)/pA.cpp", "C++", 76, 0, 11, 3, 90
"/Users/shiyu./Desktop/CP-Code/CodeForces/#961(Div.2)/pB.cpp", "C++", 95, 0, 11, 3, 109
"/Users/shiyu./Desktop/CP-Code/CodeForces/#961(Div.2)/pC+.cpp", "C++", 116, 0, 12, 7, 135
"/Users/shiyu./Desktop/CP-Code/CodeForces/#961(Div.2)/pC.cpp", "C++", 76, 0, 11, 3, 90
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Checkboard.cpp", "C++", 0, 0, 42, 5, 47
"/Users/shiyu./Desktop/CP-Code/YTP/2022_Pre/pA.cpp", "C++", 41, 0, 0, 1, 42
"/Users/shiyu./Desktop/CP-Code/ZeroJudge/a059.cpp", "C++", 36, 0, 0, 1, 37
"/Users/shiyu./Desktop/CP-Code/ZeroJudge/b548.cpp", "C++", 61, 0, 5, 5, 71
"/Users/shiyu./Desktop/CP-Code/ZeroJudge/k402.cpp", "C++", 42, 0, 1, 3, 46
"/Users/shiyu./Desktop/CP-Code/test.cpp", "C++", -5, 0, 0, 0, -5
"Total", "-", 1218, 7, 121, 76, 1422
